line,class_value
	if (duration && !pinfo->fd->flags.visited && phdr->has_tsf_timestamp) {,0
				  wlan_radio_info->aggregate->duration)_,0
"	{&hf_wlan_radio_aggregate,",0
"/* previous frame details, for aggregate detection */",0
"    proto_tree_add_bitmask(timeslot_tree, tvb, *offset, hf_ieee802154_payload_ie_tlv, ett_ieee802154_psie_short_bitmap, fields_short, ENC_LITTLE_ENDIAN)_",0
  if (phdr->has_data_rate && data_rate > 0) {,0
                guint decompressed_buffer_size = LZ4_compressBound(compressed_size)_,0
				       &aim_desegment)_,1
"  /* If blob exists, call function to dissect blob*/",0
"		col_append_fstr(pinfo->cinfo, COL_INFO, ""Response %s[%d]:"",",0
"				val_to_str_ext(EPL_ASND_SDO_COMMAND_READ_MULTIPLE_PARAMETER_BY_INDEX,",0
"				&epl_sdo_asnd_commands_short_ext, ""Command(%02X)""),",0
"				proto_item_append_text(psf_od_tree, "" Idx: 0x%04X"", idx)_",0
				/* get subindex offset */,0
"				subindex = tvb_get_guint8(tvb, dataoffset)_",0
"		col_append_fstr(pinfo->cinfo, COL_INFO, ""%s[%d]:"",",0
/* packet-netgear.c,0
"dissect_nge_esemble(tvbuff_t *tvb,proto_tree *tree _U_, int offset)",0
"    guint32 length = tvb_get_guint32(tvb, offset,ENC_BIG_ENDIAN)_",1
"    nge_handle = create_dissector_handle(dissect_nge, proto_nge)_",1
 * Routines for Netgear AP Ensemble Protocol,0
 * Charlie Lenahan <clenahan@sonicbison.com>,0
" * Foundation, Inc., 51 Franklin Street, Fifth Floor, Boston, MA  02110-1301, USA.",0
#define NETGEAR_ENSEMBLE_PORT 4554,0
static int proto_nge = -1_,0
static int hf_nge_version = -1_,0
static int hf_nge_unknown = -1_,0
static int hf_nge_unknown_int32 = -1_,0
static int hf_nge_sequence = -1_,0
static int hf_nge_tlv_length = -1_,0
static int hf_nge_ensemble_name = -1_,0
static int hf_nge_firmware_name = -1_,0
static int hf_nge_region_name = -1_,0
static int hf_nge_firmware_version = -1_,0
static int hf_nge_ap_name = -1_,0
static int hf_nge_uptime = -1_,0
static int hf_nge_mac = -1_,0
static int hf_nge_ip = -1_,0
static int hf_nge_uuid = -1_,0
static gint ett_nge = -1_,0
static gint ett_nge_lv = -1_,0
static gint ett_nge_ensemble = -1_,0
"dissect_nge_lv(tvbuff_t *tvb, proto_tree *tree _U_, int offset, const char* name,int hfindex)",0
"    proto_tree *tlv_tree = proto_tree_add_subtree(tree, tvb, offset, length+4, ett_nge_lv, NULL,name)_",0
"    proto_item *ti = proto_tree_add_uint(tlv_tree, hf_nge_tlv_length, tvb, offset, 4, length)_",0
"    proto_item_append_text(tlv_tree, "": %s"", tvb_format_text(tvb, offset, length))_",0
"    ti = proto_tree_add_item(tlv_tree, hfindex, tvb, offset,length,ENC_NA)_",0
    offset += length_,0
    return offset_,1
"    proto_tree *ensemble_tree = proto_tree_add_subtree(tree, tvb, offset, length+4, ett_nge_ensemble, NULL,""Ensemble"")_",0
"    proto_tree_add_uint(ensemble_tree, hf_nge_tlv_length, tvb, offset, 4, length)_",0
"    proto_tree_add_item(ensemble_tree, hf_nge_unknown, tvb, offset, 17, ENC_BIG_ENDIAN)_",0
    offset += 17_,0
    /* type == 1 ? */,0
"    proto_tree_add_item(ensemble_tree, hf_nge_unknown_int32, tvb, offset, 4, ENC_BIG_ENDIAN)_",0
    /* uuid ? */,0
"    proto_tree_add_item(ensemble_tree, hf_nge_uuid, tvb, offset, 16, ENC_BIG_ENDIAN)_",0
    offset += 16_,1
"    proto_tree_add_item(ensemble_tree, hf_nge_ip, tvb, offset, 4, ENC_BIG_ENDIAN)_",0
"    proto_tree_add_item(ensemble_tree, hf_nge_unknown, tvb, offset, 20, ENC_BIG_ENDIAN)_",0
    offset += 20_,1
"    proto_tree_add_item(ensemble_tree, hf_nge_mac, tvb, offset, 6, ENC_BIG_ENDIAN)_",0
    offset += 6_,1
    /* type == 2 ? */,0
"    offset =dissect_nge_lv(tvb,ensemble_tree, offset, ""Ensemble Name"", hf_nge_ensemble_name )_",0
"    offset =dissect_nge_lv(tvb,ensemble_tree, offset, ""Firmware Name"", hf_nge_firmware_name )_",0
"    offset =dissect_nge_lv(tvb,ensemble_tree, offset, ""Region Name"", hf_nge_region_name )_",0
    /* type == 0 ? */,0
"    offset =dissect_nge_lv(tvb,ensemble_tree, offset, ""Firmware Version"", hf_nge_firmware_version )_",0
"    proto_tree_add_item(ensemble_tree, hf_nge_unknown, tvb, offset, 16, ENC_BIG_ENDIAN)_",0
    /* timestamp? */,0
"    proto_tree_add_item(ensemble_tree, hf_nge_uptime, tvb, offset, 4, ENC_BIG_ENDIAN)_",0
"    offset =dissect_nge_lv(tvb,ensemble_tree, offset, ""AP Name"", hf_nge_ap_name )_",0
"    proto_tree_add_item(ensemble_tree, hf_nge_unknown, tvb, offset, -1, ENC_BIG_ENDIAN)_",0
"dissect_nge(tvbuff_t *tvb, packet_info *pinfo, proto_tree *tree _U_, void *data _U_)",0
"    col_set_str(pinfo->cinfo, COL_PROTOCOL, ""NGE"")_",0
    /* Clear out stuff in the info column */,0
"    col_clear(pinfo->cinfo,COL_INFO)_",0
"    proto_item *ti = proto_tree_add_item(tree, proto_nge, tvb, 0, -1, ENC_NA)_",0
"    proto_tree *nge_tree = proto_item_add_subtree(ti, ett_nge)_",0
    int offset =0_,0
    /* presumed version */,0
"    proto_tree_add_item(nge_tree, hf_nge_version, tvb, offset, 1, ENC_BIG_ENDIAN)_",0
    offset += 1_,0
"    proto_tree_add_item(nge_tree, hf_nge_unknown, tvb, offset, 3, ENC_BIG_ENDIAN)_",0
    offset += 3_,0
"    proto_tree_add_item(nge_tree, hf_nge_sequence, tvb, offset, 4, ENC_BIG_ENDIAN)_",0
"    dissect_nge_esemble(tvb, nge_tree, offset)_",0
proto_reg_handoff_nge(void),0
    static dissector_handle_t nge_handle_,0
"    dissector_add_uint(""udp.port"", NETGEAR_ENSEMBLE_PORT, nge_handle)_",0
proto_register_nge(void),0
    static hf_register_info hf[] = {,1
"        { &hf_nge_version,",0
"            { ""Version"", ""nge.version"",FT_UINT8, BASE_DEC,",0
"                NULL, 0x0,NULL, HFILL }},",0
"        { &hf_nge_unknown,",0
"            { ""Unknown"", ""nge.unknown"", FT_BYTES, BASE_NONE,",0
"        { &hf_nge_unknown_int32,",0
"            { ""Unknown"", ""nge.unknown"", FT_UINT32, BASE_DEC,",0
"                NULL, 0x0, NULL, HFILL }},",0
"        { &hf_nge_sequence,",0
"            { ""Sequence"", ""nge.sequence"", FT_UINT32, BASE_DEC,",0
"        { &hf_nge_uptime,",0
"            { ""Uptime"", ""nge.uptime"", FT_UINT32, BASE_DEC,",0
"        { &hf_nge_mac,",0
"            { ""MAC"", ""nge.mac"", FT_ETHER, BASE_NONE,",0
"        { &hf_nge_ip,",0
"            { ""IP"", ""nge.ip"", FT_IPv4, BASE_NONE,",0
"        { &hf_nge_uuid,",0
"            { ""Device UUID"", ""nge.uuid"", FT_GUID, BASE_NONE,",0
"        { &hf_nge_ensemble_name,",0
"            { ""Ensemble Name"", ""nge.ensemble_name"", FT_STRING, BASE_NONE,",0
"        { &hf_nge_firmware_name,",0
"            { ""Firmware Name"", ""nge.firmware_name"", FT_STRING, BASE_NONE,",0
"        { &hf_nge_region_name,",0
"            { ""Region Name"", ""nge.region_name"", FT_STRING, BASE_NONE,",0
"        { &hf_nge_firmware_version,",0
"            { ""Firmware Version"", ""nge.firmware_version"", FT_STRING, BASE_NONE,",0
"        { &hf_nge_ap_name,",0
"            { ""AP Name"", ""nge.ap_name"", FT_STRING, BASE_NONE,",0
"        { &hf_nge_tlv_length,",0
"            { ""Length"",	""nge.tlv_len"", FT_UINT32, BASE_DEC,",0
    /* Setup protocol subtree array */,0
"        &ett_nge,",0
"        &ett_nge_lv,",0
        &ett_nge_ensemble,0
    proto_nge = proto_register_protocol (,0
"                                         ""Netgear Ensemble Protocol"", /* name       */",0
"                                         ""NGE"",      /* short name */",0
"                                         ""nge""       /* abbrev     */",0
                                         )_,0
"    proto_register_field_array(proto_nge, hf, array_length(hf))_",0
"                    show_compression_reduction(tvb, subtree, compressed_size, tvb_captured_length(payload))_",0
"                    show_compression_reduction(tvb, subtree, compressed_size, uncompressed_size)_",0
"        { &hf_ua3g_cs_ip_device_routing_cmd02_parameter_eth_driver_config_port_lan_speed, { ""Port Lan Speed"", ""ua3g.ip.cs.cmd02.parameter.eth_driver_config.port_lan_speed"", FT_UINT8, BASE_DEC, VALS(str_ethernet_speed_vals), 0x0, NULL, HFILL }},",1
static int hf_pie_gigamon                                   = -1_,0
    case ((VENDOR_GIGAMON << 16) | 110):,0
 case ((VENDOR_GIGAMON << 16) | 111):,0
"       not to dissect the field, but to skip it instead, as it is not needed for display or filtering",1
"    ProtoField f = shiftProtoField(L, WSLUA_ARG_TreeItem_referenced_F_or_D)_",0
  cf->epan = session_,0
            while (frame && !pkt_info->request_found) {,0
    /* Used when the capture is already unciphered */,0
"        ""Ignore the LTE RRC security algorithm configuration, to be used when PDCP is already unciphered in the capture"",",0
          conv_ntlmssp_info->rc4_handle_client = NULL_,1
 ws_hexstrtou8@Base 2.3.0,1
            conv_ntlmssp_info->rc4_handle_client = NULL_,1
#define MD5_BUFFER_SIZE  16,1
"	gcry_md_write(sha1_handle, key, 20)_",1
"	gcry_md_write(sha1_handle, engineID, engineLength)_",1
"    if (!gcry_cipher_open (&rc4_handle, GCRY_CIPHER_ARCFOUR, GCRY_CIPHER_MODE_STREAM, 0)) {",1
"    gcry_md_write(md5_handle, serversealkey,*keylen)_",1
"                !gcry_cipher_setkey(conv_ntlmssp_info->rc4_handle_server, clientkey, ssp_key_len)) {",1
"        rc4_handle= get_encrypted_state(pinfo, 1)_",1
#define MD5_LEN 16,1
	return GPG_ERR_NO_ERROR_,0
DIAG_ON(deprecated-declarations),1
	wsutil/libwsutil.la		\,1
		is_valid = FALSE_,0
"    memcpy(fd_hash[cur_dup_entry].digest, gcry_md_read(md5_handle, 0), 16)_",1
    for(i = 0_ i < (x+159)/160_ i++),1
    iter[1] = 0_,0
    length[1] = (256 >> 8) & 0xff_,1
	/* freebsd */,1
    gcry_md_close(sha1_handle)_,1
    gcry_md_close(md5_handle)_,1
"		gcry_md_write(md5_handle, confounder, 8)_",1
"		digest = gcry_md_read(md5_handle, 0)_",1
"  if (gcry_mac_open(&hmac_handle, GCRY_MAC_HMAC_MD5, 0, NULL)) {",0
    return 0_,1
"  if (gcry_mac_setkey(hmac_handle, k5_data, 16)) {",0
    gcry_mac_close(hmac_handle)_,0
"  gcry_mac_write(hmac_handle, cksum_data, cksum_size)_",0
"  gcry_mac_read(hmac_handle, key6_data, &hmac_len)_",0
"  if (gcry_mac_setkey(hmac_handle, key_data, key_length)) {",0
"  gcry_mac_write(hmac_handle, signature, sizeof(signature))_",0
"  gcry_mac_read(hmac_handle, ksign_c, &hmac_len)_",0
"  if (memcmp (digest_comparison, hash_digest, SHA1_DIGEST_LEN) != 0)",1
"        memset(zeros,0,4)_",1
"               gcry_mac_write(hmac_handle, tunnel->lcce1_nonce, tunnel->lcce1_nonce_len)_",1
  /* remove this callback? */,0
  gcry_md_close(md5_handle)_,1
"  if (gcry_md_open(&md5_handle, GCRY_MD_MD5, 0)) {",1
"    if (gcry_md_open(&md5_handle, GCRY_MD_MD5, 0)) {",1
      return_,1
static gcry_cipher_hd_t ,1
"	digest = gcry_md_read(md5_handle, 0)_",0
	gcry_md_close(md5_handle)_,1
                gcry_md_close(sha1_handle)_,1
"    digest_buf = gcry_md_read(sha1_handle, 0)_",1
                gcry_cipher_close(rc4_handle)_,1
        guint8 dummy[256]_,1
    guint8 zeros[16]_,1
"    switch(gcry_mac_verify(cmac_handle, &data[offset_fte + 4], 16)) {",1
"    aes_cmac_encrypt_starts(&aes_ctx, key_input, 16)_",1
"    aes_cmac_encrypt_update(&aes_ctx, initiator, AIRPDCAP_MAC_LEN)_",1
"    aes_cmac_encrypt_update(&aes_ctx, responder, AIRPDCAP_MAC_LEN)_",1
"    aes_cmac_encrypt_update(&aes_ctx, &seq_num, 1)_",1
"    aes_cmac_encrypt_update(&aes_ctx, &data[offset_link], data[offset_link + 1] + 2)_",1
"    aes_cmac_encrypt_update(&aes_ctx, &data[offset_rsne], data[offset_rsne + 1] + 2)_",1
"    aes_cmac_encrypt_update(&aes_ctx, &data[offset_timeout], data[offset_timeout + 1] + 2)_",1
"    aes_cmac_encrypt_update(&aes_ctx, &data[offset_fte], 4)_",1
"    memset(mic, 0, 16)_",1
"    aes_cmac_encrypt_update(&aes_ctx, mic, 16)_",1
"    aes_cmac_encrypt_update(&aes_ctx, &data[offset_fte + 20], data[offset_fte + 1] + 2 - 20)_",1
"    aes_cmac_encrypt_finish(&aes_ctx, mic)_",1
"    if (memcmp(mic, &data[offset_fte + 4],16)) {",1
"        AIRPDCAP_DEBUG_PRINT_LINE(""AirPDcapTDLSDeriveKey"", ""MIC verification failed"", AIRPDCAP_DEBUG_LEVEL_3)_",1
        return AIRPDCAP_RET_UNSUCCESS_,1
    return -13_,1
    return -14_,1
      return -17_,1
static gcry_cipher_hd_t *,1
"        if (gcry_cipher_encrypt(*rc4_handle_peer, peer_block, encrypted_block_length, peer_block, encrypted_block_length)) {",1
/* packet-ntlmssp.c,0
 * Add-on for better NTLM v1/v2 handling,0
" * Copyright 2009, 2012 Matthieu Patou <mat@matws.net>",0
 * Routines for NTLM Secure Service Provider,0
 * Devin Heitmueller <dheitmueller@netilla.com>,0
" * Copyright 2003, Tim Potter <tpot@samba.org>",0
/* Just set me to activate debug #define DEBUG_NTLMSSP */,0
#ifdef DEBUG_NTLMSSP,0
#include <epan/asn1.h>,0
#include <epan/tap.h>,0
#include <epan/show_exception.h>,0
#include <wsutil/wsgcrypt.h>,0
#include <wsutil/md5.h>,0
#include <wsutil/des.h>,0
#include <wsutil/crc32.h>,0
#include <wsutil/str_util.h>,0
"#include ""packet-windows-common.h""",0
"#include ""packet-smb-common.h""",0
"#include ""packet-kerberos.h""",0
"#include ""packet-dcerpc.h""",0
"#include ""packet-gssapi.h""",0
"#include ""read_keytab_file.h""",0
"#include ""packet-ntlmssp.h""",0
void proto_register_ntlmssp(void)_,0
void proto_reg_handoff_ntlmssp(void)_,0
static int ntlmssp_tap = -1_,0
"#define CLIENT_SIGN_TEXT ""session key to client-to-server signing key magic constant""",0
"#define CLIENT_SEAL_TEXT ""session key to client-to-server sealing key magic constant""",0
"#define SERVER_SIGN_TEXT ""session key to server-to-client signing key magic constant""",0
"#define SERVER_SEAL_TEXT ""session key to server-to-client sealing key magic constant""",0
static const value_string ntlmssp_message_types[] = {,0
"  { NTLMSSP_NEGOTIATE, ""NTLMSSP_NEGOTIATE"" },",0
"  { NTLMSSP_CHALLENGE, ""NTLMSSP_CHALLENGE"" },",0
"  { NTLMSSP_AUTH,      ""NTLMSSP_AUTH"" },",0
"  { NTLMSSP_UNKNOWN,   ""NTLMSSP_UNKNOWN"" },",0
"  { 0, NULL }",0
typedef struct _md4_pass {,0
  guint8 md4[NTLMSSP_KEY_LEN]_,0
} md4_pass_,0
"static const unsigned char gbl_zeros[24] = ""\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0""_",0
static GHashTable* hash_packet = NULL_,0
 * NTLMSSP negotiation flags,0
 * Taken from Samba,0
 * See also,0
 *      http://davenport.sourceforge.net/ntlm.html,0
 * although that document says that:,0
" *      0x00010000 is ""Target Type Domain""_",0
" *      0x00020000 is ""Target Type Server""",0
" *      0x00040000 is ""Target Type Share""_",0
" * and that 0x00100000, 0x00200000, and 0x00400000 are",0
" * ""Request Init Response"", ""Request Accept Response"", and",0
" * ""Request Non-NT Session Key"", rather than those values shifted",0
 * right one having those interpretations.,0
 * UPDATE: Further information obtained from [MS-NLMP] 2.2.2.5:,0
 * NT LAN Manager (NTLM) Authentication Protocol Specification,0
 * http://msdn2.microsoft.com/en-us/library/cc236621.aspx,0
#define NTLMSSP_NEGOTIATE_UNICODE                  0x00000001,0
#define NTLMSSP_NEGOTIATE_OEM                      0x00000002,0
#define NTLMSSP_REQUEST_TARGET                     0x00000004,0
#define NTLMSSP_NEGOTIATE_00000008                 0x00000008,0
#define NTLMSSP_NEGOTIATE_SIGN                     0x00000010,0
#define NTLMSSP_NEGOTIATE_SEAL                     0x00000020,0
#define NTLMSSP_NEGOTIATE_DATAGRAM                 0x00000040,0
#define NTLMSSP_NEGOTIATE_LM_KEY                   0x00000080,0
#define NTLMSSP_NEGOTIATE_00000100                 0x00000100,0
#define NTLMSSP_NEGOTIATE_NTLM                     0x00000200,0
#define NTLMSSP_NEGOTIATE_NT_ONLY                  0x00000400,0
#define NTLMSSP_NEGOTIATE_ANONYMOUS                0x00000800,0
#define NTLMSSP_NEGOTIATE_OEM_DOMAIN_SUPPLIED      0x00001000,0
#define NTLMSSP_NEGOTIATE_OEM_WORKSTATION_SUPPLIED 0x00002000,0
#define NTLMSSP_NEGOTIATE_00004000                 0x00004000,0
#define NTLMSSP_NEGOTIATE_ALWAYS_SIGN              0x00008000,0
#define NTLMSSP_TARGET_TYPE_DOMAIN                 0x00010000,0
#define NTLMSSP_TARGET_TYPE_SERVER                 0x00020000,0
#define NTLMSSP_TARGET_TYPE_SHARE                  0x00040000,0
#define NTLMSSP_NEGOTIATE_EXTENDED_SECURITY        0x00080000,0
#define NTLMSSP_NEGOTIATE_IDENTIFY                 0x00100000,0
#define NTLMSSP_NEGOTIATE_00200000                 0x00200000,0
#define NTLMSSP_REQUEST_NON_NT_SESSION             0x00400000,0
#define NTLMSSP_NEGOTIATE_TARGET_INFO              0x00800000,0
#define NTLMSSP_NEGOTIATE_01000000                 0x01000000,0
#define NTLMSSP_NEGOTIATE_VERSION                  0x02000000,0
#define NTLMSSP_NEGOTIATE_04000000                 0x04000000,0
#define NTLMSSP_NEGOTIATE_08000000                 0x08000000,0
#define NTLMSSP_NEGOTIATE_10000000                 0x10000000,0
#define NTLMSSP_NEGOTIATE_128                      0x20000000,0
#define NTLMSSP_NEGOTIATE_KEY_EXCH                 0x40000000,0
#define NTLMSSP_NEGOTIATE_56                       0x80000000,0
static int proto_ntlmssp = -1_,0
static int hf_ntlmssp_auth = -1_,0
static int hf_ntlmssp_message_type = -1_,0
static int hf_ntlmssp_negotiate_flags = -1_,0
static int hf_ntlmssp_negotiate_flags_01 = -1_,0
static int hf_ntlmssp_negotiate_flags_02 = -1_,0
static int hf_ntlmssp_negotiate_flags_04 = -1_,0
static int hf_ntlmssp_negotiate_flags_08 = -1_,0
static int hf_ntlmssp_negotiate_flags_10 = -1_,0
static int hf_ntlmssp_negotiate_flags_20 = -1_,0
static int hf_ntlmssp_negotiate_flags_40 = -1_,0
static int hf_ntlmssp_negotiate_flags_80 = -1_,0
static int hf_ntlmssp_negotiate_flags_100 = -1_,0
static int hf_ntlmssp_negotiate_flags_200 = -1_,0
static int hf_ntlmssp_negotiate_flags_400 = -1_,0
static int hf_ntlmssp_negotiate_flags_800 = -1_,0
static int hf_ntlmssp_negotiate_flags_1000 = -1_,0
static int hf_ntlmssp_negotiate_flags_2000 = -1_,0
static int hf_ntlmssp_negotiate_flags_4000 = -1_,0
static int hf_ntlmssp_negotiate_flags_8000 = -1_,0
static int hf_ntlmssp_negotiate_flags_10000 = -1_,0
static int hf_ntlmssp_negotiate_flags_20000 = -1_,0
static int hf_ntlmssp_negotiate_flags_40000 = -1_,0
static int hf_ntlmssp_negotiate_flags_80000 = -1_,0
static int hf_ntlmssp_negotiate_flags_100000 = -1_,0
static int hf_ntlmssp_negotiate_flags_200000 = -1_,0
static int hf_ntlmssp_negotiate_flags_400000 = -1_,0
static int hf_ntlmssp_negotiate_flags_800000 = -1_,0
static int hf_ntlmssp_negotiate_flags_1000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_2000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_4000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_8000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_10000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_20000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_40000000 = -1_,0
static int hf_ntlmssp_negotiate_flags_80000000 = -1_,0
/* static int hf_ntlmssp_negotiate_workstation_strlen = -1_ */,0
/* static int hf_ntlmssp_negotiate_workstation_maxlen = -1_ */,0
/* static int hf_ntlmssp_negotiate_workstation_buffer = -1_ */,0
static int hf_ntlmssp_negotiate_workstation = -1_,0
/* static int hf_ntlmssp_negotiate_domain_strlen = -1_ */,0
/* static int hf_ntlmssp_negotiate_domain_maxlen = -1_ */,0
/* static int hf_ntlmssp_negotiate_domain_buffer = -1_ */,0
static int hf_ntlmssp_negotiate_domain = -1_,0
static int hf_ntlmssp_ntlm_server_challenge = -1_,0
static int hf_ntlmssp_ntlm_client_challenge = -1_,0
static int hf_ntlmssp_reserved = -1_,0
static int hf_ntlmssp_challenge_target_name = -1_,0
static int hf_ntlmssp_auth_username = -1_,0
static int hf_ntlmssp_auth_domain = -1_,0
static int hf_ntlmssp_auth_hostname = -1_,0
static int hf_ntlmssp_auth_lmresponse = -1_,0
static int hf_ntlmssp_auth_ntresponse = -1_,0
static int hf_ntlmssp_auth_sesskey = -1_,0
static int hf_ntlmssp_string_len = -1_,0
static int hf_ntlmssp_string_maxlen = -1_,0
static int hf_ntlmssp_string_offset = -1_,0
static int hf_ntlmssp_blob_len = -1_,0
static int hf_ntlmssp_blob_maxlen = -1_,0
static int hf_ntlmssp_blob_offset = -1_,0
static int hf_ntlmssp_version = -1_,0
static int hf_ntlmssp_version_major = -1_,0
static int hf_ntlmssp_version_minor = -1_,0
static int hf_ntlmssp_version_build_number = -1_,0
static int hf_ntlmssp_version_ntlm_current_revision = -1_,0
static int hf_ntlmssp_challenge_target_info = -1_,0
static int hf_ntlmssp_challenge_target_info_len = -1_,0
static int hf_ntlmssp_challenge_target_info_maxlen = -1_,0
static int hf_ntlmssp_challenge_target_info_offset = -1_,0
static int hf_ntlmssp_challenge_target_info_item_type = -1_,0
static int hf_ntlmssp_challenge_target_info_item_len = -1_,0
static int hf_ntlmssp_challenge_target_info_end = -1_,0
static int hf_ntlmssp_challenge_target_info_nb_computer_name = -1_,0
static int hf_ntlmssp_challenge_target_info_nb_domain_name = -1_,0
static int hf_ntlmssp_challenge_target_info_dns_computer_name = -1_,0
static int hf_ntlmssp_challenge_target_info_dns_domain_name = -1_,0
static int hf_ntlmssp_challenge_target_info_dns_tree_name = -1_,0
static int hf_ntlmssp_challenge_target_info_flags = -1_,0
static int hf_ntlmssp_challenge_target_info_timestamp = -1_,0
static int hf_ntlmssp_challenge_target_info_restrictions = -1_,0
static int hf_ntlmssp_challenge_target_info_target_name =-1_,0
static int hf_ntlmssp_challenge_target_info_channel_bindings =-1_,0
static int hf_ntlmssp_ntlmv2_response_item_type = -1_,0
static int hf_ntlmssp_ntlmv2_response_item_len = -1_,0
static int hf_ntlmssp_ntlmv2_response_end = -1_,0
static int hf_ntlmssp_ntlmv2_response_nb_computer_name = -1_,0
static int hf_ntlmssp_ntlmv2_response_nb_domain_name = -1_,0
static int hf_ntlmssp_ntlmv2_response_dns_computer_name = -1_,0
static int hf_ntlmssp_ntlmv2_response_dns_domain_name = -1_,0
static int hf_ntlmssp_ntlmv2_response_dns_tree_name = -1_,0
static int hf_ntlmssp_ntlmv2_response_flags = -1_,0
static int hf_ntlmssp_ntlmv2_response_timestamp = -1_,0
static int hf_ntlmssp_ntlmv2_response_restrictions = -1_,0
static int hf_ntlmssp_ntlmv2_response_target_name =-1_,0
static int hf_ntlmssp_ntlmv2_response_channel_bindings =-1_,0
static int hf_ntlmssp_message_integrity_code = -1_,0
static int hf_ntlmssp_verf = -1_,0
static int hf_ntlmssp_verf_vers = -1_,0
static int hf_ntlmssp_verf_body = -1_,0
static int hf_ntlmssp_verf_randompad = -1_,0
static int hf_ntlmssp_verf_hmacmd5 = -1_,0
static int hf_ntlmssp_verf_crc32 = -1_,0
static int hf_ntlmssp_verf_sequence = -1_,0
/* static int hf_ntlmssp_decrypted_payload = -1_ */,0
static int hf_ntlmssp_ntlmv2_response = -1_,0
static int hf_ntlmssp_ntlmv2_response_ntproofstr = -1_,0
static int hf_ntlmssp_ntlmv2_response_rversion = -1_,0
static int hf_ntlmssp_ntlmv2_response_hirversion = -1_,0
static int hf_ntlmssp_ntlmv2_response_z = -1_,0
static int hf_ntlmssp_ntlmv2_response_pad = -1_,0
static int hf_ntlmssp_ntlmv2_response_time = -1_,0
static int hf_ntlmssp_ntlmv2_response_chal = -1_,0
static gint ett_ntlmssp = -1_,0
static gint ett_ntlmssp_negotiate_flags = -1_,0
static gint ett_ntlmssp_string = -1_,0
static gint ett_ntlmssp_blob = -1_,0
static gint ett_ntlmssp_version = -1_,0
static gint ett_ntlmssp_challenge_target_info = -1_,0
static gint ett_ntlmssp_challenge_target_info_item = -1_,0
static gint ett_ntlmssp_ntlmv2_response = -1_,0
static gint ett_ntlmssp_ntlmv2_response_item = -1_,0
static expert_field ei_ntlmssp_v2_key_too_long = EI_INIT_,0
static expert_field ei_ntlmssp_blob_len_too_long = EI_INIT_,0
static expert_field ei_ntlmssp_target_info_attr = EI_INIT_,0
static expert_field ei_ntlmssp_message_type = EI_INIT_,0
"static dissector_handle_t ntlmssp_handle, ntlmssp_wrap_handle_",0
/* Configuration variables */,0
const char *gbl_nt_password = NULL_,0
#define MAX_BLOB_SIZE 10240,0
typedef struct _ntlmssp_blob {,0
  guint16 length_,0
  guint8* contents_,0
} ntlmssp_blob_,0
#define NTLMSSP_CONV_INFO_KEY 0,0
/* Used in the conversation function */,0
typedef struct _ntlmssp_info {,0
  guint32          flags_,0
  int              is_auth_ntlm_v2_,0
  gcry_cipher_hd_t rc4_handle_client_,0
  gcry_cipher_hd_t rc4_handle_server_,0
  guint8           sign_key_client[NTLMSSP_KEY_LEN]_,0
  guint8           sign_key_server[NTLMSSP_KEY_LEN]_,0
  guint32          server_dest_port_,0
  unsigned char    server_challenge[8]_,0
  unsigned char    client_challenge[8]_,0
  int              rc4_state_initialized_,0
  ntlmssp_blob     ntlm_response_,0
  ntlmssp_blob     lm_response_,0
} ntlmssp_info_,0
#define NTLMSSP_PACKET_INFO_KEY 1,0
"/* If this struct exists in the payload_decrypt, then we have already",0
   decrypted it once */,0
typedef struct _ntlmssp_packet_info {,0
  guint8   *decrypted_payload_,0
  guint8    payload_len_,0
  guint8    verifier[NTLMSSP_KEY_LEN]_,0
  gboolean  payload_decrypted_,0
  gboolean  verifier_decrypted_,0
} ntlmssp_packet_info_,0
"static void printnbyte(const guint8* tab, int nb, const char* txt, const char* txt2)",0
  int i_,0
"  fprintf(stderr, ""%s "", txt)_",0
  for (i=0_ i<nb_ i++),0
"    fprintf(stderr, ""%02X "", *(tab+i))_",0
"  fprintf(stderr, ""%s"", txt2)_",0
"static void printnchar(const guint8* tab, int nb, char* txt, char* txt2)",0
"    fprintf(stderr, ""%c"", *(tab+i))_",0
"static void printnbyte(const guint8* tab _U_, int nb _U_, const char* txt _U_, const char* txt2 _U_)",0
 * GSlist of decrypted payloads.,0
static GSList *decrypted_payloads_,0
LEBE_Convert(int value),0
"  char a, b, c, d_",0
  /* Get each byte */,0
  a = value&0x000000FF_,0
  b = (value&0x0000FF00) >> 8_,0
  c = (value&0x00FF0000) >> 16_,0
  d = (value&0xFF000000) >> 24_,0
  return (a << 24) | (b << 16) | (c << 8) | d_,0
  Perform a DES encryption with a 16-byte key and 8-byte data item.,0
  It's in fact 3 susbsequent call to crypt_des_ecb with a 7-byte key.,0
  Missing bytes for the key are replaced by 0_,0
"  Returns output in response, which is expected to be 24 bytes.",0
"crypt_des_ecb_long(guint8 *response,",0
